Name,Price,Discount,image Link
Nescafé Soluble Chicory & Coffee Granules 600g,R89.99,R89.99,/medias/lqi-10797348EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzMTA5fGltYWdlL3BuZ3xpbWFnZXMvaGJlL2hiOC8xMDEwNTYzODYxNzExOC5wbmd8YTIzZGQzZWU4MTJmZmVlZmEzZmM5NDY4OTFiOTBlYjg3YTFkMzU0OTg1ZmIyYzQ1MDNlYjQyNjJmZTIwOWVhYw
Tomatoes Bag 1kg,R14.99,R14.99,/medias/lqi-10151570EAV2-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzE1fGltYWdlL3BuZ3xpbWFnZXMvaGNmL2hmMy85NTcyNjI5NTc3NzU4LnBuZ3xmYmRkYmY4MTc5NjliZTMwNzk1ZjQwMzQ2ZDQ3N2M2MmY4NjQ0NGQzNWJjYjdjOTIzODlkNzJjNjY4NDY1NGM0
Ritebrand Golden Brown Sugar 2kg,R36.99,R36.99,/medias/lqi-10400398EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNDEyfGltYWdlL3BuZ3xpbWFnZXMvaGQyL2hkZC85MTA1NTUyNDA4NjA2LnBuZ3xkM2Y2NjY1OTc0YTU2ODg0NmMxNTc1Yjg0ZWExNDdhOTZkNGZmNzg4NDIyNTk3ODdmNDhhMTg0YjQwMTUxMTkx
"Crystal Valley Strawberry, Peach & Apricot & Mixed Berry Flavoured Smooth Low Fat Dairy Snack 6 x 75g",R9.99,R9.99,/medias/lqi-10644904EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxOTIyfGltYWdlL3BuZ3xpbWFnZXMvaGIxL2g2OC85MTAyNjI0NTU1MDM4LnBuZ3wyM2ZmNjFhYjhlZjE2MmNjMDg0MmQwMWE5NWQ2MWNjMzFiOTRjODRjZWY0YTNiYzViYzk2ZGY1MTE0OTU0Yjg3
Nescafé Ricoffy 3-In-1 Instant Coffee Stick 20g,R3.99,R3.99,/medias/lqi-10474242EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDczfGltYWdlL3BuZ3xpbWFnZXMvaGY1L2g3NS85MDg1MzA0NTM3MTE4LnBuZ3w4MjhmMmM3NjM1NDU4OTMyNmE4OTkzMzNjOWE2ZmQ5NTljMzE3OWI2MTEwMGE1MjEzN2YxNGQ0MGZkODI4NjBk
"Crystal Valley Strawberry, Vanilla & Granadilla Flavoured Smooth Low Fat Dairy Snack 6 x 75g",R9.99,R9.99,/medias/lqi-10644905EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxOTA2fGltYWdlL3BuZ3xpbWFnZXMvaDQ1L2hmMi85MTAyNjI1MzQxNDcwLnBuZ3w2MDRkZjAwZTI1M2U1MmE1ZWZjNGE0YWVmN2Q1ZmU1NWNlMzgwMjM1MDM3NmZkN2Y2ZjIxMTNlYjc5MjA2ZDQz
Ritebrand Medium Fat Bread Spread 1kg,R29.99,R29.99,/medias/lqi-10161736EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNjE3fGltYWdlL3BuZ3xpbWFnZXMvaDY0L2hhYS85OTM2MjI2NzQ2Mzk4LnBuZ3w4MzFiNzU0MTVjZWVmZDUyY2Q0NWNhNDZmOTNjYTk2MTBjOGE4MDMwY2M0NDhiYWRkZDEzNmViY2Q1YTc2N2Yz
Tait's Fruit Chutney Chips 125g,R15.99,R15.99,/medias/lqi-10344644EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzMTE5fGltYWdlL3BuZ3xpbWFnZXMvaDAwL2g4MS85MDg0MTc0NTMyNjM4LnBuZ3w4MzRmMThkNTRiYzMwNzQ3NTBlODQ5M2U0ZTY5ZTM2NmM2ZjU5YzY0MGI0ZDEyMGVkOTdiZGQ5MDBiYTdjM2Y3
Mutton Pack Per kg, R89.99  Per Kg , R89.99  Per Kg ,/medias/lqi-10152429KG-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzk2fGltYWdlL3BuZ3xpbWFnZXMvaGNhL2g2NC85MTAwNzg4ODU4OTEwLnBuZ3xkMzRjODQ4NTMwOTFjYTE1ZGI4Mzg3YTMxY2VjNDkzNjY5MjIxYzk2YzBmZDUwNWU1ZTNmY2Q4NzE3YWVhMzFk
Crystal Valley Medium Fat Amasi 2kg,R27.99,R27.99,/medias/lqi-10837104EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxMjkwfGltYWdlL3BuZ3xpbWFnZXMvaGNjL2gyMy8xMDQzOTk4NTAzNzM0Mi5wbmd8ZmVlMmNkYjFhNDc5ZDIxYjBmMDZkZjc3YTMzNDRhMTVkZjYwZGExZTgxOGQxMzMwODczY2EwMGE2NjJjM2IzMg
